"$r [deg]","Time [us]","InducedVoltage(int) [mV]"
0,0,66.5015
0,12.5,57.1330033693273
0,25,47.7645264015187
0,37.5,40.7250179717231
0,50,34.6842580234744
0,62.5,28.8979248508014
0,75,23.0031647028836
0,87.5,16.8677240625865
0,100,10.4932655181399
0,112.5,3.95711297115079
0,125,-2.62212522368761
0,137.5,-9.1050797477301
0,150,-15.3444097874279
0,162.5,-21.1933405475192
0,175,-26.5118327623816
0,187.5,-31.1713578204588
0,200,-35.0587532625014
0,212.5,-38.0793727583547
0,225,-40.1596114000994
0,237.5,-41.2488259060704
0,250,-41.3206435587353
0,262.5,-40.373649082448
0,275,-38.4314435950122
0,287.5,-35.5420799275269
0,300,-31.776890646325
0,312.5,-27.2287405541328
0,325,-22.0097463205794
0,337.5,-16.2485209985766
0,350,-10.0870110864878
0,362.5,-3.67700459459446
0,375,2.82360391306782
0,387.5,9.25469918672427
0,400,15.457885989959
0,412.5,21.2803881560279
0,425,26.5788090723359
0,437.5,31.2226617999468
0,450,35.0975812040456
0,462.5,38.1081394047381
0,475,40.1801949663104
0,487.5,41.2627180724692
0,500,41.3290465453469
0.3,0,123.827
0.3,12.5,93.151758075452
0.3,25,62.4763920492224
0.3,37.5,44.4960486471968
0.3,50,32.5541752634581
0.3,62.5,23.3656977541643
0.3,75,15.364341198454
0.3,87.5,7.85441506184541
0.3,100,0.578443718590699
0.3,112.5,-6.50267324091417
0.3,125,-13.3218063353761
0.3,137.5,-19.7635137386085
0.3,150,-25.694743453185
0.3,162.5,-30.9818475227978
0.3,175,-35.5006219721786
0.3,187.5,-39.1426685290056
0.3,200,-41.8196747607064
0.3,212.5,-43.4663710200527
0.3,225,-44.042515800776
0.3,237.5,-43.5340681398177
0.3,250,-41.9536197988536
0.3,262.5,-39.3401258322437
0.3,275,-35.7579639646289
0.3,287.5,-31.2953577552966
0.3,300,-26.062207723533
0.3,312.5,-20.1873864245355
0.3,325,-13.8155656375493
0.3,337.5,-7.1036540131926
0.3,350,-0.21693336386644
0.3,362.5,6.67501129514573
0.3,375,13.4024675250313
0.3,387.5,19.799774410695
0.3,400,25.7094017189088
0.3,412.5,30.9858287014132
0.3,425,35.4991273279098
0.3,437.5,39.1381614599706
0.3,450,41.8133232617766
0.3,462.5,43.4587396328966
0.3,475,44.033894048372
0.3,487.5,43.5246242234798
0.3,500,41.9434706520634
0.6,0,151.169
0.6,12.5,111.238494191916
0.6,25,71.3076713176347
0.6,37.5,48.437258520424
0.6,50,33.6852916047017
0.6,62.5,22.6980294882066
0.6,75,13.4145244317504
0.6,87.5,4.91462713488713
0.6,100,-3.15701586774194
0.6,112.5,-10.8788114111847
