"$r [deg]","Time [us]","InducedVoltage(int) [mV]"
0,0,-47.3131
0,12.5,-32.4856155763768
0,25,-17.6581802425166
0,37.5,-9.86682317157295
0,50,-5.3128275694422
0,62.5,-2.24855858387351
0,75,0.111350853076507
0,87.5,2.10886274104836
0,100,3.88206744464755
0,112.5,5.47581251248848
0,125,6.89319748398819
0,137.5,8.11989879393487
0,150,9.1358997559063
0,162.5,9.92135046069895
0,175,10.4595893307044
0,187.5,10.7387933951064
0,200,10.752876101131
0,212.5,10.5019253398111
0,225,9.99236734112159
0,237.5,9.23688397125832
0,250,8.25415492659038
0,262.5,7.06841523040472
0,275,5.70887654586535
0,287.5,4.209015062384
0,300,2.60575648922116
0,312.5,0.938566022560767
0,325,-0.751517031405079
0,337.5,-2.42289153718886
0,350,-4.03441885399357
0,362.5,-5.54643485552508
0,375,-6.92172100200169
0,387.5,-8.12642795671301
0,400,-9.130904472021
0,412.5,-9.9104300613037
0,425,-10.4458190600678
0,437.5,-10.7238969298735
0,450,-10.737830374808
0,462.5,-10.4872839830151
0,475,-9.97843382622031
0,487.5,-9.22381620091692
0,500,-8.24201932783974
0.15,0,-42.4392
0.15,12.5,-29.9941022399223
0.15,25,-17.549012463948
0.15,37.5,-10.7749587728775
0.15,50,-6.64760215888015
0.15,62.5,-3.74401765340827
0.15,75,-1.41337095947928
0.15,87.5,0.630124395368622
0.15,100,2.50018588848652
0.15,112.5,4.22988493288336
0.15,125,5.81528211973737
0.15,137.5,7.23654222979104
0.15,150,8.46841685685171
0.15,162.5,9.48565102989855
0.15,175,10.26592108168
0.15,187.5,10.7915230299601
0.15,200,11.0503758989412
0.15,212.5,11.0366104730251
0.15,225,10.7508674040446
0.15,237.5,10.2003662924055
0.15,250,9.39877390892931
0.15,262.5,8.36589244858163
0.15,275,7.12719756699832
0.15,287.5,5.7132083408784
0.15,300,4.15875141030274
0.15,312.5,2.50210425846866
0.15,325,0.784056693317439
0.15,337.5,-0.95309601991492
0.15,350,-2.66658498373745
0.15,362.5,-4.31422751032462
0.15,375,-5.85546268968326
0.15,387.5,-7.25234861379837
0.15,400,-8.47050152512023
0.15,412.5,-9.47993274725538
0.15,425,-10.2557941033963
0.15,437.5,-10.778990927121
0.15,450,-11.0366482160534
0.15,462.5,-11.0224291267522
0.15,475,-10.7366899851315
0.15,487.5,-10.186473096553
0.15,500,-9.38533256180532
0.3,0,-33.0826
0.3,12.5,-24.5131130601835
0.3,25,-15.9435830916282
0.3,37.5,-10.9901670857634
0.3,50,-7.77629846816801
0.3,62.5,-5.35962909687163
0.3,75,-3.29545830048746
0.3,87.5,-1.38828227804573
0.3,100,0.435085727398577
0.3,112.5,2.18854050318637
0.3,125,3.85791276103101
0.3,137.5,5.41657505007112
0.3,150,6.83349897780741
0.3,162.5,8.07761078985321
0.3,175,9.12030635498967
0.3,187.5,9.9370242810179
0.3,200,10.5082878599699
0.3,212.5,10.8203948780162
0.3,225,10.8658836909701
0.3,237.5,10.6437696254771
0.3,250,10.159606668832
0.3,262.5,9.4253713173858
0.3,275,8.45917731100756
0.3,287.5,7.28483501620805
0.3,300,5.93127430558965
0.3,312.5,4.43183129024468
0.3,325,2.82342936551065
0.3,337.5,1.14567562323405
0.3,350,-0.560125456530032
0.3,362.5,-2.25196649810405
0.3,375,-3.88820009474589
0.3,387.5,-5.42853652658353
0.3,400,-6.83505463678349
0.3,412.5,-8.07312323690075
0.3,425,-9.11226449572422
0.3,437.5,-9.92689495918902
0.3,450,-10.4969620609537
0.3,462.5,-10.8084322228545
0.3,475,-10.8536419628777
0.3,487.5,-10.631481842807
0.3,500,-10.1474281285847
0.45,0,-28.2392
0.45,12.5,-21.6008755327804
0.45,25,-14.9625197360304
0.45,37.5,-11.1786246602912
0.45,50,-8.60981654420346
0.45,62.5,-6.54026577966889
0.45,75,-4.65597063422809
0.45,87.5,-2.8280770979508
0.45,100,-1.0160813768154
0.45,112.5,0.777660867837752
0.45,125,2.53013752167497
0.45,137.5,4.2089402112034
0.45,150,5.77827789476458
0.45,162.5,7.20242199936998
0.45,175,8.4478638793624
0.45,187.5,9.48478098771455
0.45,200,10.2881027272971
0.45,212.5,10.8382996232299
0.45,225,11.1219561821167
0.45,237.5,11.1321519834137
0.45,250,10.8686614921355
0.45,262.5,10.3379744267521
0.45,275,9.55314814469798
0.45,287.5,8.53348833991251
0.45,300,7.3040815427708
0.45,312.5,5.89517575263799
0.45,325,4.34144001571826
0.45,337.5,2.68110846312146
0.45,350,0.955042359599013
0.45,362.5,-0.794277935248563
0.45,375,-2.5237974781769
0.45,387.5,-4.19094809295452
0.45,400,-5.75469597247226
0.45,412.5,-7.17655176389519
0.45,425,-8.42151861312778
0.45,437.5,-9.45895493598506
0.45,450,-10.2633271625499
0.45,462.5,-10.8148403462003
0.45,475,-11.0999244670659
0.45,487.5,-11.1115690368818
0.45,500,-10.8494960916955
0.6,0,-21.1574
0.6,12.5,-17.5089410011547
0.6,25,-13.8605206654036
0.6,37.5,-11.3931121957726
0.6,50,-9.46519632403257
0.6,62.5,-7.73453436289795
0.6,75,-6.03729477882822
0.6,87.5,-4.30729125691547
0.6,100,-2.53106054403172
