"$r [deg]","Time [ms]","InducedVoltage(int) [mV]"
0,0,340.895
0,0.0625,206.256396742947
0,0.125,71.6175343434289
0,0.1875,38.724894404722
0,0.25,24.9418598533211
0,0.3125,14.7698776421992
0,0.375,5.29242722508225
0,0.4375,-3.96549345583357
0,0.5,-12.9709175962409
0,0.5625,-21.5733103169748
0,0.625,-29.5943718105272
0,0.6875,-36.8551019221312
0,0.75,-43.1878364289861
0,0.8125,-48.4436433616576
0,0.875,-52.4976501438674
0,0.9375,-55.2530411267823
0,1,-56.6439954268789
0,1.0625,-56.637649090382
0,1.125,-55.2351163839321
0,1.1875,-52.4715997532985
0,1.25,-48.4156175346383
0,1.3125,-43.1673728709425
0,1.375,-36.8563320144899
0,1.4375,-29.6380582644587
0,1.5,-21.6904057696102
0,1.5625,-13.2091524846062
0,1.625,-4.4031891473937
0,1.6875,4.51061718939496
0,1.75,13.312758273793
0,1.8125,21.7864858741661
0,1.875,29.7231461921094
0,1.9375,36.9273155083696
0,2,43.2216105696898
0,2.0625,48.4510538364088
0,2.125,52.4868956287004
0,2.1875,55.2297741061512
0,2.25,56.612164175883
0,2.3125,56.6000434579476
0,2.375,55.1937268448866
0,2.4375,52.4278576945374
0,2.5,48.3705590992573
0.3,0,369.026
0.3,0.0625,221.592539352027
0.3,0.125,74.159523276169
0.3,0.1875,35.9196840509827
0.3,0.25,19.6662155196564
0.3,0.3125,8.2886467445569
0.3,0.375,-1.74003143502588
0.3,0.4375,-11.1488575384063
0.3,0.5,-20.0201127304328
0.3,0.5625,-28.2616308110401
0.3,0.625,-35.7302220721181
0.3,0.6875,-42.2732614009028
0.3,0.75,-47.7471008121368
0.3,0.8125,-52.0271704853269
0.3,0.875,-55.014285247919
0.3,0.9375,-56.638787107547
0.3,1,-56.8631933234645
0.3,1.0625,-55.6836497520975
0.3,1.125,-53.1303366780779
0.3,1.1875,-49.2669135481762
0.3,1.25,-44.1890675966219
0.3,1.3125,-38.0222318670042
0.3,1.375,-30.9185445884206
0.3,1.4375,-23.053135193389
0.3,1.5,-14.6198337977823
0.3,1.5625,-5.82641338879326
0.3,1.625,3.1105154461954
0.3,1.6875,11.9708307465183
0.3,1.75,20.5363136743757
0.3,1.8125,28.5960178655426
0.3,1.875,35.9514604618318
0.3,1.9375,42.4215072469756
0.3,2,47.8468311169237
0.3,2.0625,52.093833725677
0.3,2.125,55.0579343198351
0.3,2.1875,56.6661439916926
0.3,2.25,56.8788623176482
0.3,2.3125,55.690851989179
0.3,2.375,53.1313673104276
0.3,2.4375,49.2634338976776
0.3,2.5,44.1822960461257
0.6,0,391.352
0.6,0.0625,228.545322429666
0.6,0.125,65.7384239956222
0.6,0.1875,25.6135906431086
0.6,0.25,9.68967407560047
0.6,0.3125,-0.994353546584896
0.6,0.375,-10.1916702229747
0.6,0.4375,-18.6283429709426
0.6,0.5,-26.3770134076958
0.6,0.5625,-33.3530939888428
0.6,0.625,-39.4343352322809
0.6,0.6875,-44.4974491856721
0.6,0.75,-48.4331590480458
0.6,0.8125,-51.1540666833141
0.6,0.875,-52.5993347720749
0.6,0.9375,-52.7375248262075
0.6,1,-51.5681223516696
0.6,1.0625,-49.1219899548887
0.6,1.125,-45.4608758056985
0.6,1.1875,-40.6760630812459
0.6,1.25,-34.8862328473196
0.6,1.3125,-28.2346164044822
0.6,1.375,-20.8855195942998
0.6,1.4375,-13.0203133537607
0.6,1.5,-4.83299374437062
0.6,1.5625,3.47457577914507
0.6,1.625,11.6976207933138
0.6,1.6875,19.6334874656008
0.6,1.75,27.0866244750574
0.6,1.8125,33.8733918299615
0.6,1.875,39.8265779729768
0.6,1.9375,44.7995131471526
0.6,2,48.6696780295861
0.6,2.0625,51.3417180976606
0.6,2.125,52.7497896651563
0.6,2.1875,52.8591797576836
0.6,2.25,51.667159393488
0.6,2.3125,49.2030500508136
0.6,2.375,45.527500578424
0.6,2.4375,40.7309932653479
0.6,2.5,34.9316153298477
0.9,0,410.426
0.9,0.0625,236.040237610831
0.9,0.125,61.654149512591
0.9,0.1875,18.5828114661355
0.9,0.25,1.88330692538593
0.9,0.3125,-8.81679277951383
0.9,0.375,-17.6535777310542
0.9,0.4375,-25.4817796310899
0.9,0.5,-32.4302388980836
0.9,0.5625,-38.4489884691217
0.9,0.625,-43.444840936554
0.9,0.6875,-47.3232128228054
0.9,0.75,-50.00464633466
0.9,0.8125,-51.4327703490134
0.9,0.875,-51.5785391277392
0.9,0.9375,-50.4424131039777
0.9,1,-48.0551474190829
0.9,1.0625,-44.4774930902724
0.9,1.125,-39.7989758335721
0.9,1.1875,-34.1358621485507
0.9,1.25,-27.628406247703
0.9,1.3125,-20.4374693960139
0.9,1.375,-12.7406083610988
0.9,1.4375,-4.7277377674732
0.9,1.5,3.40352160255956
0.9,1.5625,11.4526914659372
0.9,1.625,19.221359633706
0.9,1.6875,26.5180556817684
0.9,1.75,33.1629587991229
0.9,1.8125,38.9923197415318
0.9,1.875,43.8624889002866
0.9,1.9375,47.6534500844705
0.9,2,50.2717731583077
0.9,2.0625,51.6529125820412
0.9,2.125,51.762795100054
0.9,2.1875,50.5986575179551
0.9,2.25,48.1891134935492
0.9,2.3125,44.5934483427621
0.9,2.375,39.9001582865284
0.9,2.4375,34.2247709200078
0.9,2.5,27.7070000353425
1.2,0,398.844
1.2,0.0625,227.19576243594
1.2,0.125,55.5476371149335
1.2,0.1875,11.8881359458724
1.2,0.25,-5.13026984200052
1.2,0.3125,-15.6071114565079
1.2,0.375,-23.8241807270509
1.2,0.4375,-30.7627346469072
1.2,0.5,-36.6327872711517
1.2,0.5625,-41.4399562366402
1.2,0.625,-45.1350048832862
1.2,0.6875,-47.6623836620375
1.2,0.75,-48.9794807661326
1.2,0.8125,-49.0654109860224
1.2,0.875,-47.9252120759426
1.2,0.9375,-45.5915958545566
1.2,1,-42.1251504245817
1.2,1.0625,-37.6134153502248
1.2,1.125,-32.1690584677315
1.2,1.1875,-25.9273038237458
1.2,1.25,-19.0427292110868
1.2,1.3125,-11.6855423302081
1.2,1.375,-4.03744462470893
1.2,1.4375,3.71280532376748
1.2,1.5,11.3740135734889
1.2,1.5625,18.7572400069204
1.2,1.625,25.6804371927502
1.2,1.6875,31.9729231038217
1.2,1.75,37.4795763585088
1.2,1.8125,42.0646501884293
1.2,1.875,45.6151106090647
1.2,1.9375,48.0434162451349
1.2,2,49.289671214653
1.2,2.0625,49.3230977678207
1.2,2.125,48.1427923730468
1.2,2.1875,45.7777465527111
1.2,2.25,42.2861317870784
1.2,2.3125,37.7538661646057
1.2,2.375,32.2924979263793
1.2,2.4375,26.0364581258726
1.2,2.5,19.1397498019483
1.5,0,395.325
1.5,0.0625,221.462828041937
1.5,0.125,47.6008260918817
1.5,0.1875,4.80724432511039
1.5,0.25,-11.1831129993682
1.5,0.3125,-20.8054096180109
1.5,0.375,-28.2347318278556
1.5,0.4375,-34.3589401187807
1.5,0.5,-39.3499663259855
1.5,0.5625,-43.210278835726
1.5,0.625,-45.9050033037495
1.5,0.6875,-47.4010055224838
1.5,0.75,-47.6814656653849
1.5,0.8125,-46.7522878961149
1.5,0.875,-44.6449397281356
1.5,0.9375,-41.4172954071909
1.5,1,-37.1531404621754
1.5,1.0625,-31.96066662844
1.5,1.125,-25.970155097416
1.5,1.1875,-19.330992491356
1.5,1.25,-12.2081405424291
1.5,1.3125,-4.77817570918856
1.5,1.375,2.77498795137754
1.5,1.4375,10.2645763068905
1.5,1.5,17.5055169578877
1.5,1.5625,24.3189683701664
1.5,1.625,30.5367023663138
1.5,1.6875,36.0052301005769
1.5,1.75,40.5895686486227
1.5,1.8125,44.176554612355
1.5,1.875,46.6776225085027
1.5,1.9375,48.0309789831584
1.5,2,48.2031190535568
1.5,2.0625,47.1896468608371
1.5,2.125,45.01538024928
1.5,2.1875,41.7337367144353
1.5,2.25,37.4254156925709
1.5,2.3125,32.1964093412485
1.5,2.375,26.1753909753766
1.5,2.4375,19.5105452282049
1.5,2.5,12.3659179814038
1.8,0,414.353
1.8,0.0625,227.341804520601
1.8,0.125,40.3306629569718
