"$r [deg]","Time [us]","InducedVoltage(int) [mV]"
0,0,621.603
0,12.5,393.586560804483
0,25,165.570046413914
0,37.5,57.7045956481157
0,50,1.41257316679924
0,62.5,-32.1897758057298
0,75,-55.1393354037269
0,87.5,-72.3747665190477
0,100,-85.8514355553415
0,112.5,-96.2823210511519
0,125,-103.879376230352
0,137.5,-108.672405184915
0,150,-110.647995415579
0,162.5,-109.810777662501
0,175,-106.210339161656
0,187.5,-99.9522636292535
0,200,-91.2012640857519
0,212.5,-80.1799154453382
0,225,-67.1645947894213
0,237.5,-52.4794469340805
0,250,-36.4888406202472
0,262.5,-19.5886662784636
0,275,-2.19675922514878
0,287.5,15.2572734637614
0,300,32.3425496114004
0,312.5,48.6374651007036
0,325,63.7400321399065
0,337.5,77.2777449780891
0,350,88.9167289786176
0,362.5,98.369942666925
0,375,105.40423045869
0,387.5,109.846052553095
0,400,111.585749493157
0,412.5,110.58023413603
0,425,106.854046980933
0,437.5,100.498747144461
0,450,91.6706538330722
0,462.5,80.5869942019062
0,475,67.5205508964794
0,487.5,52.792944130376
0,500,36.7667100851691
0.3,0,591.091
0.3,12.5,381.457826705841
0.3,25,171.824691676021
0.3,37.5,71.5796705968102
0.3,50,18.2091727286973
0.3,62.5,-14.6694936118479
0.3,75,-38.0611759180142
0.3,87.5,-56.4651271044368
0.3,100,-71.6323334387441
0.3,112.5,-84.1616430702099
0.3,125,-94.1830325520602
0.3,137.5,-101.65367803641
0.3,150,-106.488517689371
0.3,162.5,-108.619094550693
0.3,175,-108.020534124361
0.3,187.5,-104.723691984462
0.3,200,-98.819818792616
0.3,212.5,-90.4609685517341
0.3,225,-79.857619845598
0.3,237.5,-67.2742337584389
0.3,250,-53.0231714400378
0.3,262.5,-37.4572625809298
0.3,275,-20.9612866702026
0.3,287.5,-3.94261031530765
0.3,300,13.178764392906
0.3,312.5,29.9804865649718
0.3,325,46.0482148012733
0.3,337.5,60.9857899589096
0.3,350,74.4249666596581
0.3,362.5,86.0344637436696
0.3,375,95.5281079560655
0.3,387.5,102.671870243586
0.3,400,107.289619979465
0.3,412.5,109.267455865072
0.3,425,108.556504811009
0.3,437.5,105.17412196053
0.3,450,99.2034593204447
0.3,462.5,90.7914165125665
0.3,475,80.1450201237418
0.3,487.5,67.5263256171031
0.3,500,53.2459619469297
0.6,0,551.247
0.6,12.5,362.337821196355
0.6,25,173.428484591652
0.6,37.5,81.617739019295
0.6,50,31.6621161717428
0.6,62.5,-0.00666439183122348
0.6,75,-23.2913274279757
0.6,87.5,-42.2499236841028
0.6,100,-58.4449432997745
0.6,112.5,-72.3805068165482
0.6,125,-84.1239568210508
0.6,137.5,-93.5783981783483
0.6,150,-100.604770011264
0.6,162.5,-105.078159674463
0.6,175,-106.914650045289
0.6,187.5,-106.08430690061
0.6,200,-102.617087124978
0.6,212.5,-96.6046422525446
0.6,225,-88.1993689907282
0.6,237.5,-77.6113676320534
0.6,250,-65.1036776863397
0.6,262.5,-50.9860461608697
0.6,275,-35.6074624667207
0.6,287.5,-19.3476686136199
0.6,300,-2.60788377712221
0.6,312.5,14.1990239934607
0.6,325,30.6586645697825
0.6,337.5,46.3653015053146
0.6,350,60.931821167857
0.6,362.5,73.999248294177
0.6,375,85.2455723873038
0.6,387.5,94.3936667403195
0.6,400,101.218104421253
0.6,412.5,105.550702997825
0.6,425,107.284660483403
0.6,437.5,106.377181799626
0.6,450,102.850527817339
0.6,462.5,96.7914667159105
0.6,475,88.349133685515
0.6,487.5,77.7313570320523
0.6,500,65.1995405447614
0.9,0,493.046
0.9,12.5,329.821178725064
0.9,25,166.596847380572
0.9,37.5,86.927833753199
0.9,50,42.966046196077
0.9,62.5,14.3398754195596
0.9,75,-7.47243628893045
0.9,87.5,-25.9218252104476
0.9,100,-42.2923047583037
0.9,112.5,-56.9478991122275
0.9,125,-69.8723993133593
0.9,137.5,-80.9064526153234
0.9,150,-89.8543000481619
0.9,162.5,-96.5336952782063
0.9,175,-100.800442288393
0.9,187.5,-102.561030486147
0.9,200,-101.779161162784
0.9,212.5,-98.4786748517557
0.9,225,-92.7439880197052
0.9,237.5,-84.7185586642684
0.9,250,-74.6016599116991
0.9,262.5,-62.6436570760549
0.9,275,-49.1399592341281
0.9,287.5,-34.4238221605572
0.9,300,-18.8581960414517
0.9,312.5,-2.8268261046782
0.9,325,13.2751685131489
0.9,337.5,29.0510030566907
0.9,350,44.1119827368415
0.9,362.5,58.0870603213882
0.9,375,70.6319651233879
0.9,387.5,81.4376714650418
0.9,400,90.2380029225817
0.9,412.5,96.8161818803707
0.9,425,101.010163853679
0.9,437.5,102.716624538517
0.9,450,101.893501724805
0.9,462.5,98.5610289097681
0.9,475,92.8012361106609
0.9,487.5,84.7559279200683
0.9,500,74.623191351676
1.2,0,408.871
1.2,12.5,282.330468757011
1.2,25,155.790259055035
1.2,37.5,92.1975611639323
1.2,50,55.5986673567249
1.2,62.5,30.5259717866578
1.2,75,10.4416383013045
1.2,87.5,-7.30704306654517
1.2,100,-23.6806486404156
1.2,112.5,-38.9050676506909
1.2,125,-52.893860708957
1.2,137.5,-65.4381691720589
1.2,150,-76.2949561403847
1.2,162.5,-85.2301916676807
1.2,175,-92.041519700464
1.2,187.5,-96.5710864975366
1.2,200,-98.7131633587816
1.2,212.5,-98.4185843642445
1.2,225,-95.6969055722105
1.2,237.5,-90.6166708158462
1.2,250,-83.3040089299346
1.2,262.5,-73.9396983037099
1.2,275,-62.7548169421355
1.2,287.5,-50.0251211122545
1.2,300,-36.0642990775383
1.2,312.5,-21.2162762039132
1.2,325,-5.84677067276058
1.2,337.5,9.66570051771036
1.2,350,24.9391284076202
1.2,362.5,39.5974119846333
1.2,375,53.2796120271951
1.2,387.5,65.6488347745713
1.2,400,76.4005268756366
1.2,412.5,85.2699657216607
1.2,425,92.0387830138928
1.2,437.5,96.5403367664529
1.2,450,98.6638127263407
1.2,462.5,98.3569554970505
1.2,475,95.6273516287493
1.2,487.5,90.5422438776691
1.2,500,83.2268749265079
1.5,0,339.366
1.5,12.5,241.864910495793
1.5,25,144.364191825045
1.5,37.5,94.5685559113134
1.5,50,64.9982623947755
1.5,62.5,43.7520937566311
1.5,75,25.8177999277892
1.5,87.5,9.20352269018803
1.5,100,-6.75733401416843
1.5,112.5,-22.1511030748992
1.5,125,-36.8147444236032
1.5,137.5,-50.4860198184803
1.5,150,-62.874429327549
1.5,162.5,-73.6970142320347
1.5,175,-82.698179309104
1.5,187.5,-89.6618328063251
1.5,200,-94.4194143329235
1.5,212.5,-96.8553290567634
1.5,225,-96.9104229940839
1.5,237.5,-94.5837578336486
1.5,250,-89.9328045925271
1.5,262.5,-83.072122573583
1.5,275,-74.1705939864219
1.5,287.5,-63.4472990993415
1.5,300,-51.1661429603789
1.5,312.5,-37.6293715920543
1.5,325,-23.1701380406211
1.5,337.5,-8.14430582008602
1.5,350,7.07830968630533
1.5,362.5,22.1230449643994
1.5,375,36.6196114211457
1.5,387.5,50.2112124235558
1.5,400,62.5633282542977
1.5,412.5,73.3719524631974
1.5,425,82.3710776177965
1.5,437.5,89.3392452585824
1.5,450,94.1049989337444
1.5,462.5,96.5511069715277
1.5,475,96.6174482686346
1.5,487.5,94.3024939046603
1.5,500,89.663344381482
1.8,0,284.507
1.8,12.5,211.07768364021
1.8,25,137.6482212779
1.8,37.5,99.1090415737567
1.8,50,75.0460816171792
1.8,62.5,56.5982377192592
1.8,75,40.0449417306053
1.8,87.5,23.9517713059844
1.8,100,7.90197631036899
1.8,112.5,-8.06856700218055
1.8,125,-23.7257202684609
1.8,137.5,-38.7545188733037
1.8,150,-52.8161736315755
1.8,162.5,-65.5781873719696
1.8,175,-76.7322038000127
1.8,187.5,-86.005912875657
1.8,200,-93.1716943833339
1.8,212.5,-98.0531036817674
1.8,225,-100.529620425781
1.8,237.5,-100.539804424707
1.8,250,-98.082898373413
1.8,262.5,-93.2188872582646
1.8,275,-86.0670428780861
1.8,287.5,-76.8029956770103
1.8,300,-65.6544131698884
1.8,312.5,-52.8953962250122
1.8,325,-38.8397277466831
1.8,337.5,-23.8331478445042
1.8,350,-8.24483506246655
1.8,362.5,7.54168202137263
1.8,375,23.1379723860101
1.8,387.5,38.160267909926
1.8,400,52.2389149465052
1.8,412.5,65.027477831934
1.8,425,76.21127055619
1.8,437.5,85.5151068183232
1.8,450,92.7100774238848
1.8,462.5,97.6191871382813
1.8,475,100.121715370389
1.8,487.5,100.15618805446
1.8,500,97.7218931516977
2.1,0,219.88
2.1,12.5,175.125909119394
2.1,25,130.371432264966
2.1,37.5,104.703629899116
2.1,50,86.6137497710598
2.1,62.5,71.0167422146797
2.1,75,55.7648481231652
2.1,87.5,40.0777262902405
2.1,100,23.8156773283571
2.1,112.5,7.14058586155208
2.1,125,-9.64465362839084
2.1,137.5,-26.1749390827637
2.1,150,-42.0643928772896
2.1,162.5,-56.9306102226356
2.1,175,-70.4107906837977
2.1,187.5,-82.1737383382707
2.1,200,-91.9294247972903
2.1,212.5,-99.436781759799
2.1,225,-104.509936824081
2.1,237.5,-107.022930088072
2.1,250,-106.912879033357
2.1,262.5,-104.181552291216
2.1,275,-98.8953371092093
2.1,287.5,-91.1836037004344
2.1,300,-81.2355183631137
2.1,312.5,-69.2953790946065
2.1,325,-55.6565957240137
2.1,337.5,-40.6544591351847
2.1,350,-24.6578796157046
2.1,362.5,-8.06029877327221
2.1,375,8.73000275364627
2.1,387.5,25.2999644544546
2.1,400,41.241917926579
2.1,412.5,56.1636302518825
2.1,425,69.6979639028139
2.1,437.5,81.5119206651278
2.1,450,91.3148421460832
2.1,462.5,98.8655697816191
2.1,475,103.97838437588
2.1,487.5,106.527580650778
2.1,500,106.450564518514
2.4,0,137.238
2.4,12.5,126.067089058551
2.4,25,114.896671731749
2.4,37.5,105.176528646881
2.4,50,95.219389153638
2.4,62.5,84.1260219354952
2.4,75,71.5274446608497
2.4,87.5,57.4002311783873
2.4,100,41.9299288950144
2.4,112.5,25.4246698115321
2.4,125,8.25885947312481
2.4,137.5,-9.15465620705323
2.4,150,-26.3865167708042
2.4,162.5,-43.0094455990845
2.4,175,-58.610020010063
2.4,187.5,-72.8000987966413
2.4,200,-85.2279012228328
2.4,212.5,-95.5833310429325
2.4,225,-103.608550736441
2.4,237.5,-109.103490994458
2.4,250,-111.930723653824
2.4,262.5,-112.018794472215
2.4,275,-109.363937721524
2.4,287.5,-104.030130749443
2.4,300,-96.1474871165316
2.4,312.5,-85.9090266551101
2.4,325,-73.5659011409529
2.4,337.5,-59.4211922922471
2.4,350,-43.8231776490006
2.4,362.5,-27.1544713116937
2.4,375,-9.82380270423357
2.4,387.5,7.74188039529331
2.4,400,25.110078790288
2.4,412.5,41.8534098818781
2.4,425,57.5595492198512
2.4,437.5,71.841937963182
2.4,450,84.3512644987817
2.4,462.5,94.7786977243721
2.4,475,102.867765048346
2.4,487.5,108.419549573945
2.4,500,111.297589848589
2.7,0,63.8944
2.7,12.5,80.5500893581946
2.7,25,97.2058054989017
2.7,37.5,101.080875919644
2.7,50,98.2798781011244
2.7,62.5,91.3284689551321
2.7,75,81.3571623017039
2.7,87.5,68.9957589334183
2.7,100,54.7122484239504
2.7,112.5,38.9351384860806
2.7,125,22.0936748517307
2.7,137.5,4.62700566192023
2.7,150,-13.0185673910255
2.7,162.5,-30.3970122652687
2.7,175,-47.0717970617055
2.7,187.5,-62.6256817401429
2.7,200,-76.6704148187514
2.7,212.5,-88.8559214740365
2.7,225,-98.8786714870055
2.7,237.5,-106.488974908418
2.7,250,-111.497004659712
2.7,262.5,-113.777375349369
2.7,275,-113.272161746587
2.7,287.5,-109.992269712196
2.7,300,-104.017127567881
2.7,312.5,-95.4926958173529
2.7,325,-84.627848236439
2.7,337.5,-71.6892067747413
2.7,350,-56.9945592592998
2.7,362.5,-40.9050200912681
2.7,375,-23.8161265029228
2.7,387.5,-6.14808896417463
2.7,400,11.664563545341
2.7,412.5,29.1836909076974
2.7,425,45.9783368453633
2.7,437.5,61.6353437597649
2.7,450,75.7695329626626
2.7,462.5,88.0331913399846
2.7,475,98.1246373339929
2.7,487.5,105.795651573827
2.7,500,110.857592407753
3,0,-23.6171
3,12.5,25.6720305698351
3,25,74.9611774611078
3,37.5,94.1015122972818
3,50,99.0872275315833
3,62.5,96.6450067737735
3,75,89.6622311006519
3,87.5,79.4897865573712
3,100,66.8805637895096
3,112.5,52.3667347746973
3,125,36.4086717443188
3,137.5,19.4506851442643
3,150,1.93830881990451
3,162.5,-15.680477573895
3,175,-32.9608377571937
3,187.5,-49.4694855760886
3,200,-64.7940878496187
3,212.5,-78.5527460071239
3,225,-90.4030122322352
3,237.5,-100.050083736054
3,250,-107.253905398154
3,262.5,-111.834971735378
3,275,-113.678668661098
3,287.5,-112.738036152967
3,300,-109.034881125036
3,312.5,-102.659203322708
3,325,-93.7669546346172
3,337.5,-82.5761733787082
3,350,-69.3615999766932
3,362.5,-54.4478946575337
3,375,-38.2016333984352
3,387.5,-21.0222710030587
3,400,-3.332294460005
3,412.5,14.4331849544233
3,425,31.837151851474
3,437.5,48.4514550942986
3,450,63.8673508053082
3,462.5,77.7055755217458
3,475,89.6256837220242
3,487.5,99.3344371107683
3,500,106.593025852666
3.3,0,-110.121
3.3,12.5,-31.5077017173504
3.3,25,47.1053043107102
3.3,37.5,80.8497978979641
3.3,50,93.9203733113939
3.3,62.5,96.6517553054165
3.3,75,93.4820398132204
3.3,87.5,86.4093873809774
3.3,100,76.4398837590502
3.3,112.5,64.1889686431062
3.3,125,50.1293277575403
3.3,137.5,34.6907059867461
3.3,150,18.2971563389944
3.3,162.5,1.37749934542907
3.3,175,-15.6358753326379
3.3,187.5,-32.3133081721768
3.3,200,-48.236344555463
3.3,212.5,-63.0069496570206
3.3,225,-76.2567105575673
3.3,237.5,-87.6555535003526
3.3,250,-96.9196464295879
3.3,262.5,-103.81823342046
3.3,275,-108.179209743465
3.3,287.5,-109.893280755654
3.3,300,-108.916592228906
3.3,312.5,-105.271763744189
3.3,325,-99.0472955953757
3.3,337.5,-90.3953595597887
3.3,350,-79.5280298535244
3.3,362.5,-66.7120402418232
3.3,375,-52.262202383762
3.3,387.5,-36.5336387213398
3.3,400,-19.9130297373841
3.3,412.5,-2.8090819993731
3.3,425,14.357543411853
3.3,437.5,31.1645934464107
3.3,450,47.1986295970848
3.3,462.5,62.0652092455429
3.3,475,75.3986050048366
3.3,487.5,86.8708106728761
3.3,500,96.1996252212868
3.6,0,-222.867
3.6,12.5,-105.701869103779
3.6,25,11.4632237752386
3.6,37.5,64.4471687409912
3.6,50,88.1955787415259
3.6,62.5,97.7473594461424
3.6,75,99.551303707435
3.6,87.5,96.453552779101
3.6,100,89.7956613236707
3.6,112.5,80.3186702909781
3.6,125,68.5248994216943
3.6,137.5,54.8370086143719
3.6,150,39.6612858090296
3.6,162.5,23.4104404879823
3.6,175,6.51311898899941
3.6,187.5,-10.6099890119262
3.6,200,-27.5225590765632
3.6,212.5,-43.7938035321911
3.6,225,-59.0202118618691
3.6,237.5,-72.822998046388
3.6,250,-84.8579675620622
3.6,262.5,-94.8257217649565
3.6,275,-102.478146952057
3.6,287.5,-107.624977972269
3.6,300,-110.136063223164
3.6,312.5,-109.949658853085
3.6,325,-107.063775407553
3.6,337.5,-101.563474711471
3.6,350,-93.5675467868784
3.6,362.5,-83.2771714501866
3.6,375,-70.9449381985401
3.6,387.5,-56.8738049310257
3.6,400,-41.4096252821619
3.6,412.5,-24.9326208765937
3.6,425,-7.85216305712491
3.6,437.5,9.42016145201379
3.6,450,26.4598897222291
3.6,462.5,42.8378801162594
3.6,475,58.1560452744243
3.6,487.5,72.0380576365544
3.6,500,84.1420094720164
3.9,0,-250.881
3.9,12.5,-127.314579489482
3.9,25,-3.7478710292641
3.9,37.5,52.7807739219325
3.9,50,78.8670972149296
3.9,62.5,90.3114185264745
3.9,75,93.8959288947073
3.9,87.5,92.59133992879
3.9,100,87.7750913878785
3.9,112.5,80.1714002651276
3.9,125,70.249374055423
3.9,137.5,58.3906844901935
3.9,150,44.958389500133
3.9,162.5,30.3227335710317
3.9,175,14.8678284083117
3.9,187.5,-1.01039465088767
3.9,200,-16.9103132921584
3.9,212.5,-32.4326450289377
3.9,225,-47.1892675798867
3.9,237.5,-60.8121899021166
3.9,250,-72.96225331184
3.9,262.5,-83.3372474668658
3.9,275,-91.6791914070779
3.9,287.5,-97.7805719281435
3.9,300,-101.489369560281
3.9,312.5,-102.712738958334
3.9,325,-101.41924694574
3.9,337.5,-97.6396089836257
3.9,350,-91.4659032970935
3.9,362.5,-83.0492798248668
