"$r [deg]","Time [ms]","InducedVoltage(int) [mV]"
0,0,70.4693
0,0.0625,40.5908313621101
0,0.125,10.71233371831
0,0.1875,2.73764074848749
0,0.25,-0.160334500480698
0,0.3125,-1.86521782492004
0,0.375,-3.24981605294216
0,0.4375,-4.49014827386106
0,0.5,-5.60345197627374
0,0.5625,-6.57311229934157
0,0.625,-7.37779896835206
0,0.6875,-7.99846479064766
0,0.75,-8.42022224606158
0,0.8125,-8.63299414152657
0,0.875,-8.63180844884449
0,0.9375,-8.41692691161263
0,1,-7.99383855234376
0,1.0625,-7.37312764509831
0,1.125,-6.57021549724945
0,1.1875,-5.60498614562093
0,1.25,-4.50130021471472
0,1.3125,-3.28641007883786
0,1.375,-1.99029276764517
0,1.4375,-0.644913730064568
0,1.5,0.716557143896527
0,1.5625,2.06056222020852
0,1.625,3.35397862216588
0,1.6875,4.56493584533697
0,1.75,5.66359638936328
0,1.8125,6.62289171796056
0,1.875,7.41918764970572
0,1.9375,8.03286556257407
0,2,8.44880542567101
0,2.0625,8.65675760318135
0,2.125,8.65159486634152
0,2.1875,8.43343905206878
0,2.25,8.00765681536645
0,2.3125,7.3847280665832
0,2.375,6.57998867196513
0,2.4375,5.61324993406256
0,2.5,4.50831405491487
0.15,0,65.4897
0.15,0.0625,36.9976781637529
0.15,0.125,8.50562901860492
0.15,0.1875,1.07339222599137
0.15,0.25,-1.48452535819618
0.15,0.3125,-2.89092984074409
0.15,0.375,-3.98115408911799
0.15,0.4375,-4.92489278610735
0.15,0.5,-5.74121314530369
0.15,0.5625,-6.41778482789418
0.15,0.625,-6.93848112413235
0.15,0.6875,-7.2898172480768
0.15,0.75,-7.4625033022011
0.15,0.8125,-7.45184342856321
0.15,0.875,-7.25782052346194
0.15,0.9375,-6.88504502365082
0.15,1,-6.3426013443778
0.15,1.0625,-5.64379725563819
0.15,1.125,-4.80581861801512
0.15,1.1875,-3.84929516733859
0.15,1.25,-2.79778547574586
0.15,1.3125,-1.67719234653288
0.15,1.375,-0.515122359830131
0.15,1.4375,0.659795652284992
0.15,1.5,1.81861651606114
0.15,1.5625,2.93279204321418
0.15,1.625,3.97487430386729
0.15,1.6875,4.91919157183661
0.15,1.75,5.74248052996112
0.15,1.8125,6.42445903857214
0.15,1.875,6.94832558173632
0.15,1.9375,7.30117269174919
0.15,2,7.47430494888993
0.15,2.0625,7.46345282894431
0.15,2.125,7.26887781320522
0.15,2.1875,6.89536589205171
0.15,2.25,6.35210961309396
0.15,2.3125,5.65248170170028
0.15,2.375,4.8137057016605
0.15,2.4375,3.85643182142151
0.15,2.5,2.80422846749556
0.3,0,79.741
0.3,0.0625,44.9384724419357
0.3,0.125,10.1359404893478
0.3,0.1875,0.874391557251804
0.3,0.25,-2.39672646806439
0.3,0.3125,-4.19506468628831
0.3,0.375,-5.54954639262197
0.3,0.4375,-6.68005240855599
0.3,0.5,-7.62027803367146
0.3,0.5625,-8.36316401895617
0.3,0.625,-8.89534029504138
0.3,0.6875,-9.20562667591323
0.3,0.75,-9.28734708680657
0.3,0.8125,-9.13905929725124
0.3,0.875,-8.76478117342803
0.3,0.9375,-8.17397456501563
0.3,1,-7.38135604203225
0.3,1.0625,-6.40656120745072
0.3,1.125,-5.27367789266092
0.3,1.1875,-4.01066356936155
0.3,1.25,-2.64866435663333
0.3,1.3125,-1.22125264643837
0.3,1.375,0.236396366374309
0.3,1.4375,1.6883684484089
0.3,1.5,3.09889351578074
