"$r [deg]","Time [ms]","InducedVoltage(int) [mV]"
0,0,-16.2081
0,0.0625,-8.35041681664226
0,0.125,-0.492700687382466
0,0.1875,0.826927004933648
0,0.25,1.18842065704709
0,0.3125,1.38425466790969
0,0.375,1.52573175436593
0,0.4375,1.62644006349308
0,0.5,1.68643006268829
0,0.5625,1.70458690697934
0,0.625,1.68050538971449
0,0.6875,1.61478097557906
0,0.75,1.50903825616241
0,0.8125,1.36589317802415
0,0.875,1.18888854830052
0,0.9375,0.982402526172033
0,1,0.751539783717961
0,1.0625,0.50200491264104
0,1.125,0.239960272245095
0,1.1875,-0.0281248511630727
0,1.25,-0.295634683494152
0,1.3125,-0.555968931455937
0,1.375,-0.802705692276215
0,1.4375,-1.02975949071788
0,1.5,-1.23153035056591
0,1.5625,-1.40304252736557
0,1.625,-1.54006565693388
0,1.6875,-1.6392199201537
0,1.75,-1.69805855574481
0,1.8125,-1.7151278785004
0,1.875,-1.69000344339702
0,1.9375,-1.62330054567138
0,2,-1.51665795291616
0,2.0625,-1.37269933623275
0,2.125,-1.19496572721963
0,2.1875,-0.987831983744753
0,2.25,-0.756396130168944
0,2.3125,-0.506354803366378
0,2.375,-0.243863311558681
0,2.4375,0.0246165762057127
0,2.5,0.292475389750188
0.15,0,-14.8146
0.15,0.0625,-7.75424768658405
0.15,0.125,-0.693898301989409
0.15,0.1875,0.495140284984964
0.15,0.25,0.841924491442872
0.15,0.3125,1.04888756069022
0.15,0.375,1.21094221029128
0.15,0.4375,1.33860943657231
0.15,0.5,1.43125828118875
0.15,0.5625,1.48732730051486
0.15,0.625,1.5057971510114
0.15,0.6875,1.48644582796949
0.15,0.75,1.42991307996917
0.15,0.8125,1.33771013669483
0.15,0.875,1.2121976406084
0.15,0.9375,1.05653621619789
0.15,1,0.874614343012996
0.15,1.0625,0.67095609474222
0.15,1.125,0.450612351115555
0.15,1.1875,0.219038112591807
0.15,1.25,-0.0180405604928515
0.15,1.3125,-0.254766277187241
0.15,1.375,-0.48529407542348
0.15,1.4375,-0.703934452765527
0.15,1.5,-0.905293006193677
0.15,1.5625,-1.08440269680382
0.15,1.625,-1.23684613946859
0.15,1.6875,-1.35886365684181
0.15,1.75,-1.44744592692401
0.15,1.8125,-1.50040776285519
0.15,1.875,-1.51644170696748
0.15,1.9375,-1.49515024720435
0.15,2,-1.43705542646568
0.15,2.0625,-1.34358578185556
0.15,2.125,-1.21704135768394
0.15,2.1875,-1.06053672886135
0.15,2.25,-0.877924525690313
0.15,2.3125,-0.673700315630095
0.15,2.375,-0.4528919864439
0.15,2.4375,-0.220935936807065
0.15,2.5,0.016456829257001
0.3,0,-17.7365
0.3,0.0625,-9.51236537425402
0.3,0.125,-1.28827614105174
0.3,0.1875,0.133326395158582
0.3,0.25,0.575813655900596
0.3,0.3125,0.86087293406083
0.3,0.375,1.10142385236238
0.3,0.4375,1.30959898806587
0.3,0.5,1.48345034613897
0.3,0.5625,1.61953889959982
0.3,0.625,1.71487693279764
0.3,0.6875,1.76733525951398
0.3,0.75,1.77576674179941
0.3,0.8125,1.74006699250492
0.3,0.875,1.66119132430609
0.3,0.9375,1.54114102508094
0.3,1,1.38291664935752
0.3,1.0625,1.19045257000975
0.3,1.125,0.968520314564307
0.3,1.1875,0.722607481801588
0.3,1.25,0.458790826200793
0.3,1.3125,0.183578230550555
0.3,1.375,-0.0962325983479704
0.3,1.4375,-0.373743782939252
0.3,1.5,-0.642114762996498
0.3,1.5625,-0.894728602729203
0.3,1.625,-1.12535669474798
0.3,1.6875,-1.32831601899694
0.3,1.75,-1.49860133521628
0.3,1.8125,-1.63201872770848
0.3,1.875,-1.72527662081378
0.3,1.9375,-1.77607681256042
0.3,2,-1.78316582097008
0.3,2.0625,-1.74636699538575
0.3,2.125,-1.66658420801617
0.3,2.1875,-1.54578063567789
0.3,2.25,-1.38692770300531
0.3,2.3125,-1.1939370038235
0.3,2.375,-0.971561692375505
0.3,2.4375,-0.725274945492882
0.3,2.5,-0.46114138714912
0.45,0,-16.9065
0.45,0.0625,-9.19347433406107
0.45,0.125,-1.48040210798062
0.45,0.1875,-0.188322301163919
0.45,0.25,0.22375386474157
0.45,0.3125,0.511738410049986
0.45,0.375,0.771567564076005
0.45,0.4375,1.00973826991891
0.45,0.5,1.22176362123023
0.45,0.5625,1.40264933962395
0.45,0.625,1.54805758974212
0.45,0.6875,1.65456827370488
0.45,0.75,1.71971110060636
0.45,0.8125,1.74199784693064
0.45,0.875,1.72097625664911
0.45,0.9375,1.65724059943454
0.45,1,1.55242120674727
0.45,1.0625,1.40915594964626
0.45,1.125,1.23098009329754
0.45,1.1875,1.02234610376028
0.45,1.25,0.788405843357501
0.45,1.3125,0.534943932925495
0.45,1.375,0.268209417236592
0.45,1.4375,-0.00520866958930069
0.45,1.5,-0.278569765688985
0.45,1.5625,-0.545135653134537
0.45,1.625,-0.79832915303165
0.45,1.6875,-1.0319183489374
0.45,1.75,-1.24012721761152
0.45,1.8125,-1.4178524193268
0.45,1.875,-1.56068947831514
0.45,1.9375,-1.66511756123003
0.45,2,-1.72857290607714
0.45,2.0625,-1.74948639666407
0.45,2.125,-1.72734060504722
0.45,2.1875,-1.66267878468233
0.45,2.25,-1.55709118620481
0.45,2.3125,-1.41318485335134
0.45,2.375,-1.23447058374876
0.45,2.4375,-1.02538201005017
0.45,2.5,-0.791055695163371
0.6,0,-16.3987
0.6,0.0625,-9.00403506903916
0.6,0.125,-1.60938036658484
0.6,0.1875,-0.348505001870612
0.6,0.25,0.0667546333201259
0.6,0.3125,0.362387635596799
0.6,0.375,0.632168664388886
0.6,0.4375,0.883090864469516
0.6,0.5,1.11088421539255
0.6,0.5625,1.31032857156356
0.6,0.625,1.47670375911672
0.6,0.6875,1.60605834615598
0.6,0.75,1.69532537598843
