"$r [deg]","Time [us]","InducedVoltage(int) [mV]"
0,0,530.411
0,12.5,402.305851587958
0,25,274.200961336454
0,37.5,181.525661323417
0,50,111.495305441828
0,62.5,56.13222419481
0,75,10.5761437124897
0,87.5,-28.0436396686463
0,100,-61.3393462807623
0,112.5,-90.1380941042528
0,125,-114.789931270529
0,137.5,-135.369586262009
0,150,-151.809560171721
0,162.5,-163.988336503973
0,175,-171.789006395024
0,187.5,-175.137835233127
0,200,-174.029056631627
0,212.5,-168.539799448513
0,225,-158.837672127651
0,237.5,-145.182782318146
0,250,-127.925272510056
0,262.5,-107.499252247039
0,275,-84.4137592363808
0,287.5,-59.2412891329794
0,300,-32.6043960766079
0,312.5,-5.16081399030901
0,325,22.4124459200253
0,337.5,49.4355711582121
0,350,75.2425577760141
0,362.5,99.1975284357949
0,375,120.710333153951
0,387.5,139.251044714753
0,400,154.362973805059
0,412.5,165.673906489302
0,425,172.905253192066
0,437.5,175.878897731037
0,450,174.521581871435
0,462.5,168.866703088079
0,475,159.053482274136
0,487.5,145.323548104043
0,500,128.014973418005
0.15,0,540.755
0.15,12.5,397.333432390584
0.15,25,253.912022118353
0.15,37.5,152.32900932354
0.15,50,77.7203978625909
0.15,62.5,20.8290599589899
0.15,75,-24.025175459031
0.15,87.5,-60.2563954553992
0.15,100,-89.8569296323138
0.15,112.5,-113.940629030421
0.15,125,-133.092876792445
0.15,137.5,-147.596597104232
0.15,150,-157.578479970515
0.15,162.5,-163.103522151364
0.15,175,-164.235730726936
0.15,187.5,-161.076321896748
0.15,200,-153.786660409043
0.15,212.5,-142.600535754219
0.15,225,-127.828829288772
0.15,237.5,-109.858527324152
0.15,250,-89.1475005897424
0.15,262.5,-66.2159675613106
0.15,275,-41.635476389792
0.15,287.5,-16.0159863121051
0.15,300,10.0084179685539
0.15,312.5,35.7946441206259
0.15,325,60.7061137042828
0.15,337.5,84.1282315461283
0.15,350,105.483375149982
0.15,362.5,124.245029984707
0.15,375,139.950693110218
0.15,387.5,152.213216327947
0.15,400,160.730314432016
0.15,412.5,165.291987434312
0.15,425,165.785669852954
0.15,437.5,162.199009941084
0.15,450,154.620145520006
0.15,462.5,143.235547163608
0.15,475,128.325406303092
