"$r [deg]","Time [us]","InducedVoltage(int) [mV]"
0.45,312.5,-19.6505758141646
0.45,325,-28.3973990797372
0.45,337.5,-36.4481027744948
0.45,350,-43.6041163922458
0.45,362.5,-49.6889514657152
0.45,375,-54.5525349416576
0.45,387.5,-58.074896853872
0.45,400,-60.1691181823935
0.45,412.5,-60.7834666686356
0.45,425,-59.902667996681
0.45,437.5,-57.5482782502849
0.45,450,-53.7781526194784
0.45,462.5,-48.6850171548467
0.45,475,-42.3941861250293
0.45,487.5,-35.0604734525244
0.45,500,-26.8643808932516
0.6,0,-228.784
0.6,12.5,-168.121249425921
0.6,25,-107.458744568803
0.6,37.5,-66.2183110912283
0.6,50,-35.7832048509693
0.6,62.5,-15.7646437216944
0.6,75,2.49756995247936
0.6,87.5,16.94127231914
0.6,100,29.027522431675
0.6,112.5,38.9425984531387
0.6,125,49.0813954624369
0.6,137.5,55.1309779559704
0.6,150,60.5334343108485
0.6,162.5,64.2882557927572
0.6,175,66.3630119608517
0.6,187.5,66.7432531825511
0.6,200,65.4420338148441
0.6,212.5,62.5051605213058
0.6,225,58.0134461365985
0.6,237.5,52.0827742741942
0.6,250,44.862495162493
0.6,262.5,36.0909958757109
0.6,275,27.0625702930096
0.6,287.5,17.7486725635312
0.6,300,7.26415736213162
0.6,312.5,-3.24349482745781
0.6,325,-13.73334120438
0.6,337.5,-23.9262184812036
0.6,350,-33.5389254776785
0.6,362.5,-41.1645024025389
0.6,375,-51.0472653679227
0.6,387.5,-56.211616483855
0.6,400,-61.2408432361819
0.6,412.5,-64.7629929630628
0.6,425,-66.6911313238151
0.6,437.5,-66.9776448840459
0.6,450,-65.6153819391257
0.6,462.5,-62.6378177688113
0.6,475,-58.118216599854
0.6,487.5,-52.1678252363491
0.6,500,-44.9331286859159
0.75,0,-221.717
0.75,12.5,-163.603069221648
0.75,25,-105.489522510577
0.75,37.5,-66.1992370563662
0.75,50,-38.2367541244757
0.75,62.5,-17.1659183740691
0.75,75,-0.404695058421292
0.75,87.5,13.5092964457429
0.75,100,25.3666546629216
0.75,112.5,35.559892744494
0.75,125,44.2512590173022
0.75,137.5,51.4761191763259
0.75,150,57.2070053000125
0.75,162.5,61.3935199092665
0.75,175,63.987264800347
0.75,187.5,64.9573325409348
0.75,200,64.2996927186518
