"$r [deg]","Time [ms]","InducedVoltage(int) [mV]"
0,0,85.7319
0,0.0625,61.4289224753535
0,0.125,37.1259536759736
0,0.1875,28.7603614743212
0,0.25,24.3025144596536
0,0.3125,20.4262107085065
0,0.375,16.3084751537665
0,0.4375,11.8189793199806
0,0.5,7.01812621302958
0,0.5625,2.0191450910885
0,0.625,-3.05092911974403
0,0.6875,-8.06171181108771
0,0.75,-12.8863495730683
0,0.8125,-17.4029347389897
0,0.875,-21.4982048285321
0,0.9375,-25.0699159685411
0,1,-28.0289091896314
0,1.0625,-30.3013853646543
0,1.125,-31.8307254383412
0,1.1875,-32.5787331449006
0,1.25,-32.5265308841337
0,1.3125,-31.6752784541328
0,1.375,-30.0453371867063
0,1.4375,-27.6767543334578
0,1.5,-24.6277896559974
0,1.5625,-20.9731794485752
0,1.625,-16.8029564022194
0,1.6875,-12.2196381886166
0,1.75,-7.33596893794287
0,1.8125,-2.27214546108355
0,1.875,2.84710627353627
0,1.9375,7.89591410052111
0,2,12.7497884348185
0,2.0625,17.2894166178187
0,2.125,21.4029569829616
0,2.1875,24.989345809132
0,2.25,27.9602423961736
0,2.3125,30.2424487636421
0,2.375,31.7797988480707
0,2.4375,32.5344432489462
0,2.5,32.4877681232411
0.15,0,116.961
0.15,0.0625,78.9948512971852
0.15,0.125,41.0285031173537
0.15,0.1875,27.7937397364875
0.15,0.25,21.2408606356716
0.15,0.3125,16.24879566771
0.15,0.375,11.4551362464998
0.15,0.4375,6.55486939983609
0.15,0.5,1.54613043838809
0.15,0.5625,-3.48316763592248
0.15,0.625,-8.42162847544721
0.15,0.6875,-13.1516386631654
0.15,0.75,-17.5584883401336
0.15,0.8125,-21.5349479499726
0.15,0.875,-24.9833318275941
0.15,0.9375,-27.818173561715
0.15,1,-29.9701349226871
0.15,1.0625,-31.3851722243787
0.15,1.125,-32.0272127953673
0.15,1.1875,-31.8829225677737
0.15,1.25,-30.9544860262538
0.15,1.3125,-29.2626536457381
0.15,1.375,-26.8526530095796
0.15,1.4375,-23.7815569799672
0.15,1.5,-20.1247706309616
0.15,1.5625,-15.9728447639502
0.15,1.625,-11.4286252077207
0.15,1.6875,-6.60277841388468
0.15,1.75,-1.61422475616422
0.15,1.8125,3.4128779271087
0.15,1.875,8.35485094047842
0.15,1.9375,13.0902669078958
0.15,2,17.5030416888507
0.15,2.0625,21.4858637590127
0.15,2.125,24.937733409995
0.15,2.1875,27.7778101354992
0.15,2.25,29.9342053385255
0.15,2.3125,31.3526072016919
0.15,2.375,31.9980186312582
0.15,2.4375,31.8565550098333
0.15,2.5,30.9299272317751
0.3,0,148.778
0.3,0.0625,96.5696068726238
0.3,0.125,44.3608752708691
0.3,0.1875,26.6039202169064
0.3,0.25,18.232362494327
0.3,0.3125,12.2840548944213
0.3,0.375,6.89751663438473
0.3,0.4375,1.62624885679597
0.3,0.5,-3.57688313220122
0.3,0.5625,-8.6432849561384
0.3,0.625,-13.4712404840202
0.3,0.6875,-17.9522970726127
0.3,0.75,-21.9816285699089
0.3,0.8125,-25.4632581706554
0.3,0.875,-28.313494790047
0.3,0.9375,-30.4634245492939
0.3,1,-31.8611698188767
0.3,1.0625,-32.4728649384869
0.3,1.125,-32.2839330326991
0.3,1.1875,-31.2993710453405
0.3,1.25,-29.5435818159565
0.3,1.3125,-27.0600088295166
0.3,1.375,-23.9098775880637
0.3,1.4375,-20.1708761715045
0.3,1.5,-15.9351378055776
0.3,1.5625,-11.3069859977977
0.3,1.625,-6.40042450920377
0.3,1.6875,-1.33631097333774
0.3,1.75,3.76064124077777
0.3,1.8125,8.76494100066891
0.3,1.875,13.5533722737943
0.3,1.9375,18.0080018693827
0.3,2,22.0191214527855
0.3,2.0625,25.4879656979961
0.3,2.125,28.3291101297387
0.3,2.1875,30.4725309692739
0.3,2.25,31.8655816713247
0.3,2.3125,32.4739125200393
0.3,2.375,32.2825460766148
0.3,2.4375,31.2962515072556
