"$r [deg]","Time [ms]","InducedVoltage(int) [mV]"
1.5,0.1875,4.33529226974389
1.5,0.25,5.02488852507575
1.5,0.3125,5.35073819331231
1.5,0.375,5.48914624569588
1.5,0.4375,5.46897477596875
1.5,0.5,5.30111875162707
1.5,0.5625,4.99462048283806
1.5,0.625,4.55974055532384
1.5,0.6875,4.00881279948719
1.5,0.75,3.35643396825233
1.5,0.8125,2.61935285911294
1.5,0.875,1.81619213134647
1.5,0.9375,0.967066104850177
1.5,1,0.0931310694392721
1.5,1.0625,-0.783907431878468
1.5,1.125,-1.64231094142043
1.5,1.1875,-2.46083127527672
1.5,1.25,-3.21922555481993
1.5,1.3125,-3.89874887291006
1.5,1.375,-4.48261177734578
1.5,1.4375,-4.95639066713191
1.5,1.5,-5.30838073573946
1.5,1.5625,-5.52988250131605
1.5,1.625,-5.61541474493036
1.5,1.6875,-5.56284847381384
1.5,1.75,-5.37345858277379
1.5,1.8125,-5.05189184813616
1.5,1.875,-4.60605200888311
1.5,1.9375,-4.0469047686015
1.5,2,-3.38820748850369
1.5,2.0625,-2.64617012642391
1.5,2.125,-1.83905593302578
1.5,2.1875,-0.98673154717951
1.5,2.25,-0.110177676585044
1.5,2.3125,0.769027631933924
1.5,2.375,1.62924041774988
1.5,2.4375,2.44928385300686
1.5,2.5,3.20896972847478
1.8,0,-35.4176
1.8,0.0625,-16.6526293180754
1.8,0.125,2.11229875014794
1.8,0.1875,4.39090340161577
1.8,0.25,4.93074848818406
1.8,0.3125,5.15521617796181
1.8,0.375,5.2129565066501
1.8,0.4375,5.12587372019861
1.8,0.5,4.90285148828722
1.8,0.5625,4.55259329889268
1.8,0.625,4.08560712739036
1.8,0.6875,3.5146004058916
1.8,0.75,2.85445265238767
1.8,0.8125,2.12199713095886
1.8,0.875,1.33568999211479
1.8,0.9375,0.515206379738864
1.8,1,-0.319012204851192
1.8,1.0625,-1.1462401816544
1.8,1.125,-1.94596386057163
1.8,1.1875,-2.6983766275061
1.8,1.25,-3.38485941318471
1.8,1.3125,-3.98843397716644
1.8,1.375,-4.49417710893416
1.8,1.4375,-4.88958519286022
1.8,1.5,-5.16487988544392
1.8,1.5625,-5.31324722864932
1.8,1.625,-5.3310041263311
1.8,1.6875,-5.21768798405338
1.8,1.75,-4.97606732234397
1.8,1.8125,-4.61207302636874
1.8,1.875,-4.13465167477146
1.8,1.9375,-3.55554491844377
1.8,2,-2.88900001692901
1.8,2.0625,-2.15141882329722
1.8,2.125,-1.36095346256248
1.8,2.1875,-0.53705946006648
1.8,2.25,0.299983610522064
1.8,2.3125,1.12957161643749
1.8,2.375,1.93128329127789
1.8,2.4375,2.68538310993825
1.8,2.5,3.37330742199937
2.1,0,-28.0156
2.1,0.0625,-12.5489026240221
2.1,0.125,2.91780953043983
2.1,0.1875,4.65805666460144
2.1,0.25,4.98752994352071
2.1,0.3125,5.05712288288576
2.1,0.375,4.97794448148712
2.1,0.4375,4.76566582297045
2.1,0.5,4.42898311079339
2.1,0.5625,3.97803352331706
2.1,0.625,3.42517146507187
2.1,0.6875,2.78490387487743
2.1,0.75,2.07364959095449
2.1,0.8125,1.30940830259255
2.1,0.875,0.511365973183896
2.1,0.9375,-0.300544546327864
2.1,1,-1.1061114977042
2.1,1.0625,-1.88532587476318
2.1,1.125,-2.61886266444225
2.1,1.1875,-3.28854837310737
2.1,1.25,-3.87780241341759
2.1,1.3125,-4.37204093085798
2.1,1.375,-4.75903238437227
2.1,1.4375,-5.02919622754868
2.1,1.5,-5.17583677086362
2.1,1.5625,-5.1953065106442
2.1,1.625,-5.08709475792789
2.1,1.6875,-4.85383921880318
2.1,1.75,-4.5012603092033
2.1,1.8125,-4.03801968420413
2.1,1.875,-3.47550643222369
2.1,1.9375,-2.8275562881775
2.1,2,-2.11011056615511
2.1,2.0625,-1.34082339586542
2.1,2.125,-0.538626768856576
2.1,2.1875,0.276735803579912
2.1,2.25,1.08519561625532
2.1,2.3125,1.86685302113927
2.1,2.375,2.60246762506036
2.1,2.4375,3.27393202818253
2.1,2.5,3.86471787498521
2.4,0,-20.2125
2.4,0.0625,-8.23969567383674
2.4,0.125,3.73308458508685
2.4,0.1875,5.03440566477866
2.4,0.25,5.19194707620001
2.4,0.3125,5.10951543949081
2.4,0.375,4.88050132368937
2.4,0.4375,4.52250819905639
2.4,0.5,4.04748282520955
2.4,0.5625,3.46869418804507
2.4,0.625,2.80139962064062
2.4,0.6875,2.06272455687429
2.4,0.75,1.27135627705949
2.4,0.8125,0.447149381336447
2.4,0.875,-0.389322781309052
2.4,0.9375,-1.21724862016142
2.4,1,-2.01607341237667
2.4,1.0625,-2.76599346306168
2.4,1.125,-3.44843540517856
2.4,1.1875,-4.04650742986272
2.4,1.25,-4.54541081751155
2.4,1.3125,-4.93280102212644
2.4,1.375,-5.19908916065843
2.4,1.4375,-5.3376761053368
2.4,1.5,-5.34511358716812
2.4,1.5625,-5.22118794308552
2.4,1.625,-4.96892433291814
2.4,1.6875,-4.59451163877252
2.4,1.75,-4.10714944850004
2.4,1.8125,-3.51882098371672
2.4,1.875,-2.84399776997077
2.4,1.9375,-2.09928285043863
2.4,2,-1.30300178278988
2.4,2.0625,-0.474751176891132
2.4,2.125,0.365084061647055
2.4,2.1875,1.19583279442215
2.4,2.25,1.99704675144968
2.4,2.3125,2.74900420182661
2.4,2.375,3.43319559479079
2.4,2.4375,4.03277945468559
2.4,2.5,4.53299712908044
2.7,0,-11.2542
2.7,0.0625,-3.46838106154918
2.7,0.125,4.31740466957683
2.7,0.1875,5.07701850719025
2.7,0.25,5.05306423912417
2.7,0.3125,4.83175509358158
2.7,0.375,4.47667174880603
2.7,0.4375,4.00429814467102
2.7,0.5,3.42847877037398
2.7,0.5625,2.764593883401
2.7,0.625,2.02979415232773
2.7,0.6875,1.24274613411643
2.7,0.75,0.423253859858549
2.7,0.8125,-0.408180848505672
2.7,0.875,-1.23083332085447
2.7,0.9375,-2.02424687189741
2.7,1,-2.76872355162103
2.7,1.0625,-3.44579978883437
2.7,1.125,-4.03869493856069
2.7,1.1875,-4.53271924171198
2.7,1.25,-4.9156322774893
2.7,1.3125,-5.17794134192738
2.7,1.375,-5.31313330126989
2.7,1.4375,-5.31783289877063
2.7,1.5,-5.191884838757
2.7,1.5625,-4.93835628594066
2.7,1.625,-4.56346056387553
2.7,1.6875,-4.07640334886616
2.7,1.75,-3.48915548477641
2.7,1.8125,-2.81615757884288
