"$r [deg]","Time [ms]","InducedVoltage(int) [mV]"
0,0,-152.189
0,0.0625,-85.3736539088514
0,0.125,-18.5578873182431
0,0.1875,-5.26142021881701
0,0.25,-0.751663332172251
0,0.3125,2.29253283143843
0,0.375,5.02527182822169
0,0.4375,7.58486299671318
0,0.5,9.9442844296386
0,0.5625,12.0528344832293
0,0.625,13.8608260442509
0,0.6875,15.3248200786401
0,0.75,16.4094532991709
0,0.8125,17.088498269549
0,0.875,17.3455832869799
0,0.9375,17.174636604895
0,1,16.5800624152377
0,1.0625,15.5766502631592
0,1.125,14.1892233242634
0,1.1875,12.4520358599426
0,1.25,10.4079359276296
0,1.3125,8.10731478286051
0,1.375,5.60686929485887
0,1.4375,2.96820818820165
0,1.5,0.256336888258303
0,1.5625,-2.46194189755953
0,1.625,-5.11967203521009
0,1.6875,-7.65139189359357
0,1.75,-9.99474559570974
0,1.8125,-12.0920179864113
0,1.875,-13.8915553497603
0,1.9375,-15.3490370001864
0,2,-16.4285663456825
0,2.0625,-17.1035545721551
0,2.125,-17.3573751272128
0,2.1875,-17.1837730571098
0,2.25,-16.5870187738088
0,2.3125,-15.5818029069155
0,2.375,-14.1928743684435
0,2.4375,-12.4544309524045
0,2.5,-10.4092771438266
0.3,0,-176.105
0.3,0.0625,-97.5112734124469
0.3,0.125,-18.9173655978927
0.3,0.1875,-3.06944184949633
0.3,0.25,2.23923995132981
0.3,0.3125,5.67183521276454
0.3,0.375,8.62560029480305
0.3,0.4375,11.2850775474412
0.3,0.5,13.634518228396
0.3,0.5625,15.6290582187713
0.3,0.625,17.2250516053469
0.3,0.6875,18.3864849827764
0.3,0.75,19.0870495503455
0.3,0.8125,19.3111779648504
0.3,0.875,19.0546196691508
0.3,0.9375,18.3246639790177
0.3,1,17.1400401649723
0.3,1.0625,15.5305117636652
0.3,1.125,13.5361832145002
0.3,1.1875,11.2065410394062
0.3,1.25,8.59925636797068
0.3,1.3125,5.77878060889767
0.3,1.375,2.81477027511996
0.3,1.4375,-0.219619109271749
0.3,1.5,-3.24952743906471
0.3,1.5625,-6.20022782882406
0.3,1.625,-8.99896245103097
0.3,1.6875,-11.5767306722785
0.3,1.75,-13.8699854222989
0.3,1.8125,-15.8221957616276
0.3,1.875,-17.3852371726598
0.3,1.9375,-18.52057505501
0.3,2,-19.2002125314116
0.3,2.0625,-19.4073787828255
0.3,2.125,-19.136941285363
0.3,2.1875,-18.3955315172468
0.3,2.25,-17.2013811319695
0.3,2.3125,-15.5838725904355
