"$r [deg]","Time [us]","InducedVoltage(int) [mV]"
0,0,65.6449
0,12.5,57.0531221900646
0,25,48.4613384696327
0,37.5,41.8312286966208
0,50,36.1458544884915
0,62.5,30.6550942447464
0,75,24.973558255341
0,87.5,18.9603826313613
0,100,12.6181759966613
0,112.5,6.02954141307103
0,125,-0.679866982159992
0,137.5,-7.36276289128563
0,150,-13.8632080700857
0,162.5,-20.0251527587402
0,175,-25.6986177311312
0,187.5,-30.744543286903
0,200,-35.0387875477318
0,212.5,-38.4754655139732
0,225,-40.9696979072343
0,237.5,-42.4597700223368
0,250,-42.9086857506171
0,262.5,-42.3050953130754
0,275,-40.6635813812084
0,287.5,-38.0243034666541
0,300,-34.4520092987081
0,312.5,-30.0344394794438
0,325,-24.8801669290614
0,337.5,-19.1159205016301
0,350,-12.8834643799521
0,362.5,-6.33610545474423
0,375,0.365083086348491
0,387.5,7.05522865214566
0,400,13.5697201866515
0,412.5,19.7482629578494
0,425,25.438824924926
0,437.5,30.5013834008183
0,450,34.8113710405128
0,462.5,38.2627457605804
0,475,40.7706006481565
0,487.5,42.2732571859859
0,500,42.73378208574
0.3,0,122.972
0.3,12.5,93.0598718557993
0.3,25,63.148060711642
0.3,37.5,46.2959284463347
0.3,50,35.2612937084596
0.3,62.5,26.6418001981785
0.3,75,18.9076884200536
0.3,87.5,11.4278952550512
0.3,100,4.00047317368776
0.3,112.5,-3.37275498878695
0.3,125,-10.5949668143802
0.3,137.5,-17.5278630483518
0.3,150,-24.0190725770813
0.3,162.5,-29.9171569985385
0.3,175,-35.0806172366897
0.3,187.5,-39.3838567061177
0.3,200,-42.7214410189705
0.3,212.5,-45.0112455202631
0.3,225,-46.1967383875405
0.3,237.5,-46.2484963523059
0.3,250,-45.1649876407875
0.3,262.5,-42.9726362754758
0.3,275,-39.7251835675524
0.3,287.5,-35.502369169467
0.3,300,-30.4079687125118
0.3,312.5,-24.5672378694611
0.3,325,-18.1238268189305
0.3,337.5,-11.2362416278334
0.3,350,-4.07393955868746
0.3,362.5,3.18684491259205
0.3,375,10.3674411190442
0.3,387.5,17.2911426800273
0.3,400,23.7875600232909
0.3,412.5,29.6968166482606
0.3,425,34.8734869145574
0.3,437.5,39.1901773627532
0.3,450,42.5406646364302
0.3,462.5,44.8425112586071
0.3,475,46.0390961960786
0.3,487.5,46.1010095232621
0.3,500,45.0267770016317
0.6,0,148.551
0.6,12.5,106.603712255886
0.6,25,64.6567998902852
0.6,37.5,42.3089627126239
0.6,50,28.7129169884127
0.6,62.5,18.9282791558868
0.6,75,10.7633482031687
0.6,87.5,3.29771566148438
0.6,100,-3.80226656883935
0.6,112.5,-10.6011139509865
0.6,125,-17.0425549298962
0.6,137.5,-23.019888734367
0.6,150,-28.4103616743279
0.6,162.5,-33.0928429725058
0.6,175,-36.9575916869952
0.6,187.5,-39.9121236275174
0.6,200,-41.8849746543036
0.6,212.5,-42.828169051136
0.6,225,-42.7187418310254
0.6,237.5,-41.5594725433343
0.6,250,-39.3789020052406
0.6,262.5,-36.2306730607134
0.6,275,-32.1922327925294
0.6,287.5,-27.3629381243944
0.6,300,-21.8616161352248
0.6,312.5,-15.8236418015699
0.6,325,-9.39760715220768
0.6,337.5,-2.74166232072064
0.6,350,3.98037620755803
0.6,362.5,10.603061376077
0.6,375,16.9633876848722
0.6,387.5,22.9048062475936
0.6,400,28.2810788692921
0.6,412.5,32.9598796812729
0.6,425,36.8260537115574
0.6,437.5,39.7844520556533
0.6,450,41.762275881251
0.6,462.5,42.7108678875884
0.6,475,42.6069121209259
0.6,487.5,41.4530071821442
0.6,500,39.277602620779
0.9,0,181.086
0.9,12.5,126.080818032497
0.9,25,71.0755596731646
0.9,37.5,42.4285775914764
0.9,50,25.6614539712992
0.9,62.5,14.1787328711511
0.9,75,5.05453401225303
0.9,87.5,-2.95304545419702
0.9,100,-10.3177039067114
0.9,112.5,-17.1657134085434
0.9,125,-23.4700280770736
0.9,137.5,-29.1408015063966
0.9,150,-34.0669934282321
0.9,162.5,-38.1474428602016
0.9,175,-41.2829086630917
0.9,187.5,-43.4010134584431
0.9,200,-44.4508267962081
0.9,212.5,-44.4073648324891
0.9,225,-43.2719787530732
0.9,237.5,-41.0727318264212
0.9,250,-37.863760935218
0.9,262.5,-33.723990052284
0.9,275,-28.7551031544274
0.9,287.5,-23.0829877124228
0.9,300,-16.8360554872626
0.9,312.5,-10.1819714749777
0.9,325,-3.27774757250432
0.9,337.5,3.70630795763806
0.9,350,10.5981060075138
0.9,362.5,17.2279297230498
0.9,375,23.4325533597414
0.9,387.5,29.0591458826919
0.9,400,33.9675839594181
0.9,412.5,38.0418397454896
0.9,425,41.1777609339969
0.9,437.5,43.298679951257
0.9,450,44.35254331514
0.9,462.5,44.3135191977292
0.9,475,43.1826274817053
0.9,487.5,40.9877519055149
0.9,500,37.7829526375974
1.2,0,188.007
1.2,12.5,127.917674976686
1.2,25,67.8278632842884
1.2,37.5,37.1262854381677
1.2,50,19.5751785867267
1.2,62.5,7.9298708568102
1.2,75,-0.996231296937185
1.2,87.5,-8.55921456241541
1.2,100,-15.2906673952185
1.2,112.5,-21.3536935166671
1.2,125,-26.750940195978
1.2,137.5,-31.4205792388534
1.2,150,-35.2814635433252
1.2,162.5,-38.2550355754731
1.2,175,-40.2764034339164
1.2,187.5,-41.3001745421782
1.2,200,-41.3035609526025
1.2,212.5,-40.2878903736303
1.2,225,-38.2790381619283
1.2,237.5,-35.3270256694021
1.2,250,-31.5049118856276
1.2,262.5,-26.907063303388
1.2,275,-21.6468699436938
1.2,287.5,-15.8539775768797
1.2,300,-9.67111135779713
1.2,312.5,-3.25057193865899
1.2,325,3.24950768931218
1.2,337.5,9.66905024802832
1.2,350,15.849972422787
1.2,362.5,21.640074488311
1.2,375,26.8967858596239
1.2,387.5,31.4906741662728
1.2,400,35.3086310834393
1.2,412.5,38.256656588902
1.2,425,40.2621728101567
1.2,437.5,41.2758106458006
1.2,450,41.2726250004891
1.2,462.5,40.2527087811577
1.2,475,38.2411902191649
1.2,487.5,35.2876140907009
1.2,500,31.4647216451743
1.5,0,209.335
1.5,12.5,138.632855699361
1.5,25,67.9311533314238
1.5,37.5,32.0086284704553
1.5,50,11.9648147573415
1.5,62.5,-0.770802080657033
1.5,75,-10.0074947940351
1.5,87.5,-17.3940081591223
1.5,100,-23.6051108182105
1.5,112.5,-28.8812618610041
1.5,125,-33.2747768812604
1.5,137.5,-36.7629594917977
1.5,150,-39.3007529633525
1.5,162.5,-40.8456761284925
1.5,175,-41.3698383887397
1.5,187.5,-40.8657222936178
1.5,200,-39.3487659001056
1.5,212.5,-36.8581302713853
1.5,225,-33.4562958805679
1.5,237.5,-29.2278080934046
1.5,250,-24.2773439674865
1.5,262.5,-18.7272152999679
1.5,275,-12.7144045463539
1.5,287.5,-6.38721908127565
1.5,300,0.0983405271821338
1.5,312.5,6.58241196936921
1.5,325,12.9051970670864
1.5,337.5,18.9108921023196
1.5,350,24.4515187501926
1.5,362.5,29.390564678241
1.5,375,33.6063424175651
1.5,387.5,36.9949839106073
1.5,400,39.4729961485381
1.5,412.5,40.979315633319
1.5,425,41.4768115470362
1.5,437.5,40.9531985423542
1.5,450,39.4213388973554
1.5,462.5,36.9189250216878
1.5,475,33.5075511236248
1.5,487.5,29.2711955882383
1.5,500,24.3141536912844
1.8,0,217.922
1.8,12.5,142.759771696295
1.8,25,67.5971090801622
1.8,37.5,30.0760901486518
1.8,50,9.48777173500385
1.8,62.5,-3.37835112896977
1.8,75,-12.5648606254349
1.8,87.5,-19.8047563540982
1.8,100,-25.80340671863
1.8,112.5,-30.8138870576999
1.8,125,-34.8961611667537
1.8,137.5,-38.0346670279104
1.8,150,-40.1922577572337
1.8,162.5,-41.3353085940642
1.8,175,-41.4455336990511
1.8,187.5,-40.5254749996372
1.8,200,-38.600773937155
1.8,212.5,-35.7206436518644
1.8,225,-31.9571942258381
1.8,237.5,-27.4039216597923
1.8,250,-22.1735440815675
1.8,262.5,-16.3953074619831
1.8,275,-10.2118462521668
1.8,287.5,-3.77569906472539
1.8,300,2.75442789481858
1.8,312.5,9.21755687237263
1.8,325,15.4543924998276
1.8,337.5,21.3112382173531
1.8,350,26.6437747378003
1.8,362.5,31.3206104980534
1.8,375,35.2265134124222
1.8,387.5,38.2652462919442
1.8,400,40.3619335689659
1.8,412.5,41.464904310521
1.8,425,41.5469636728934
1.8,437.5,40.6060595285646
1.8,450,38.6653338564478
1.8,462.5,35.7725518623026
1.8,475,31.9989243833943
1.8,487.5,27.4373553289659
1.8,500,22.2001520235881
2.1,0,233.225
2.1,12.5,151.224970945507
2.1,25,69.2250529640665
2.1,37.5,28.3723530647705
2.1,50,6.15015997390397
2.1,62.5,-7.50480168821375
2.1,75,-17.0288329261374
2.1,87.5,-24.3360456921515
2.1,100,-30.216655438138
2.1,112.5,-34.9661242656995
2.1,125,-38.6689085772337
2.1,137.5,-41.3271145616199
2.1,150,-42.9193059560797
2.1,162.5,-43.4276286432094
2.1,175,-42.8503252798721
2.1,187.5,-41.2073416397583
2.1,200,-38.5423817581739
2.1,212.5,-34.9230091941874
2.1,225,-30.4396017392364
2.1,237.5,-25.2034315522193
2.1,250,-19.3440420281383
2.1,262.5,-13.006210444698
2.1,275,-6.34633995689543
2.1,287.5,0.471300477861874
2.1,300,7.27861340003183
2.1,312.5,13.9077991365127
2.1,325,20.1954767451776
2.1,337.5,25.9867002654032
2.1,350,31.1387683015746
2.1,362.5,35.524732878149
2.1,375,39.0365249650332
2.1,387.5,41.587608645711
2.1,400,43.1151142663903
2.1,412.5,43.5813824841215
2.1,425,42.9748849918972
2.1,437.5,41.3105197501981
2.1,450,38.6292646356032
2.1,462.5,34.9970941078761
2.1,475,30.5034062525761
2.1,487.5,25.2588368685011
2.1,500,19.39249023132
2.4,0,231.173
2.4,12.5,146.500208727093
2.4,25,61.8270501036257
2.4,37.5,19.8038304184314
2.4,50,-2.72956458609166
2.4,62.5,-16.1468135584874
2.4,75,-25.0442804154762
2.4,87.5,-31.4286642857915
2.4,100,-36.1529939256332
2.4,112.5,-39.5629180558113
2.4,125,-41.7881885369879
2.4,137.5,-42.8747920677875
2.4,150,-42.8443215587323
2.4,162.5,-41.7217425520046
2.4,175,-39.5478444998706
2.4,187.5,-36.3832894630969
2.4,200,-32.3103869782561
2.4,212.5,-27.4322543784662
2.4,225,-21.8709714887465
2.4,237.5,-15.7649081487776
2.4,250,-9.26550324465771
2.4,262.5,-2.53364250144047
2.4,275,4.26413440611634
2.4,287.5,10.9599651343127
2.4,300,17.3885425031711
2.4,312.5,23.3913241997591
2.4,325,28.8200798755269
2.4,337.5,33.5408785365037
2.4,350,37.4372600703725
2.4,362.5,40.4130977546983
2.4,375,42.3950388005528
2.4,387.5,43.3341471312645
2.4,400,43.2069889696725
2.4,412.5,42.0165986913343
2.4,425,39.7923519060143
2.4,437.5,36.5888978779906
2.4,450,32.4850629377333
2.4,462.5,27.5818388150946
2.4,475,21.9999108023291
2.4,487.5,15.8766816423441
2.4,500,9.36288761208855
2.7,0,214.396
2.7,12.5,134.73959203988
2.7,25,55.0831925148278
2.7,37.5,15.5587301526324
2.7,50,-5.52866594869043
2.7,62.5,-17.924227726866
2.7,75,-25.9644680597116
2.7,87.5,-31.5562540770988
2.7,100,-35.5217242837721
2.7,112.5,-38.2047285042205
2.7,125,-39.7448428647271
2.7,137.5,-40.2016509997992
2.7,150,-39.6113010533925
2.7,162.5,-38.0121564847973
2.7,175,-35.4561066740013
2.7,187.5,-32.0130211584229
2.7,200,-27.7717565122661
2.7,212.5,-22.8392971334939
2.7,225,-17.3387875288722
2.7,237.5,-11.406847273957
2.7,250,-5.19039722281142
2.7,262.5,1.15685008547411
2.7,275,7.47810962876511
2.7,287.5,13.6173427233187
2.7,300,19.4230712065972
2.7,312.5,24.7520885707583
2.7,325,29.4729724483011
2.7,337.5,33.4693104031923
2.7,350,36.6425591752694
2.7,362.5,38.9144654342963
2.7,375,40.2289881269685
2.7,387.5,40.5536750343285
2.7,400,39.8804593461029
2.7,412.5,38.2258558252008
2.7,425,35.6305528086141
2.7,437.5,32.1584085734804
2.7,450,27.8948783559065
2.7,462.5,22.9449084481934
2.7,475,17.4303521568771
2.7,487.5,11.4869682509705
2.7,500,5.26107764938833
3,0,210.931
3,12.5,128.6240254255
3,25,46.3172279675377
3,37.5,6.32580664528806
3,50,-14.3665438057951
